"Reference","Qty","Value","Footprint","Datasheet","Description","Manufacturer","MPN","Supplier","Supplier PN"
"C1","1","10uF 25V","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","Unpolarized capacitor","Murata","GRM319R61E106KA12D","",""
"C2,C4,C5,C6,C7,C8","6","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","Unpolarized capacitor","Murata","GRM21BR71H104KA01L","",""
"C3","1","10uF 16V","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","Unpolarized capacitor","Murata","GRM319R61E106KA12D","",""
"D1","1","SS34","Diode_SMD:D_SMA_Handsoldering","","Schottky diode","Diodes Incorporated","SBR3A40SA-13","",""
"D2","1","SMBJ15A","Diode_SMD:D_SMB_Handsoldering","","Unidirectional TVS diode, 15V","Vishay General Semiconductor","SMBJ15A-E3/52","",""
"F1","1","3A","Fuse:Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder","","Resettable fuse, polymeric positive temperature coefficient","Bourns","MF-LSMF300/24X-2","",""
"J1","1","Conn_01x02","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Molex","43650-0200","",""
"J2,J3","2","Conn_01x04","Connector:FanPinHeader_1x04_P2.54mm_Vertical","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Molex","47053-1000","",""
"J4,J5","2","Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","JST","B2B-XH-A","",""
"J6","1","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Molex","22032031","",""
"J7","1","LED Panel","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","","Generic connector, single row, 01x06, script generated","JST","B6B-XH-A","",""
"Q1,Q2","2","2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23","onsemi","2N7002LT1G","",""
"R1,R2","2","10k 1%","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor","YAGEO","RC0805FR-0710KL","",""
"R3,R8","2","100Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor","YAGEO","RC0805FR-07100RL","",""
"R4,R7","2","100kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor","YAGEO","RC0805FR-07100KL","",""
"R5,R6","2","10kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor","YAGEO","RC0805FR-0710KL","",""
"R9,R10,R11,R12,R13","5","1kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor","YAGEO","RC0805FR-071KL","",""
"R14","1","470Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Resistor","YAGEO","RC0805FR-07470RL","",""
"U1","1","ATtiny1616-S","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny3216_ATtiny1616-data-sheet-40001997B.pdf","20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, SOIC-20","Microchip Technology","ATTINY1616-SNR","",""
"U2","1","L78L05_SO8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","Positive 100mA 30V Linear Regulator, Fixed Output 5V, SO-8","STMicroelectronics","L78L05ABD13TR","",""
