Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 25V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",119.811800,-97.345900,90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.810000,-96.795500,-90.000000,top
"C3","10uF 16V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",135.763000,-95.034500,-90.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.208000,-94.509500,90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",159.152500,-97.282000,0.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",159.152500,-94.742000,0.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.712000,-82.190500,90.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.839000,-109.241500,-90.000000,top
"D1","SS34","D_SMA_Handsoldering",123.124600,-89.890600,180.000000,top
"D2","SMBJ15A","D_SMB_Handsoldering",125.628400,-98.483400,-90.000000,top
"F1","3A","Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder",111.933000,-89.890600,0.000000,top
"J1","Conn_01x02","Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal",97.688400,-89.887800,-90.000000,top
"J2","Conn_01x04","FanPinHeader_1x04_P2.54mm_Vertical",101.046000,-83.683000,90.000000,top
"J3","Conn_01x04","FanPinHeader_1x04_P2.54mm_Vertical",101.173000,-110.734000,90.000000,top
"J4","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",179.197000,-97.937000,-90.000000,top
"J5","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",179.197000,-89.067000,-90.000000,top
"J6","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",157.607000,-111.379000,90.000000,top
"J7","LED Panel","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",144.218000,-68.072000,0.000000,top
"Q1","2N7002","SOT-23",109.662000,-75.105500,-90.000000,top
"Q2","2N7002","SOT-23",109.662000,-102.283500,-90.000000,top
"R1","10k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.115000,-100.457000,0.000000,top
"R2","10k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.115000,-91.567000,0.000000,top
"R3","100Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.459000,-74.066400,0.000000,top
"R4","100kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.585000,-70.612000,180.000000,top
"R5","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.585000,-78.486000,180.000000,top
"R6","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.635800,-105.664000,0.000000,top
"R7","100kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.585000,-98.044000,180.000000,top
"R8","100Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.300000,-101.346000,180.000000,top
"R9","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.178000,-84.693000,90.000000,top
"R10","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.163000,-84.725000,-90.000000,top
"R11","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.638000,-84.725000,90.000000,top
"R12","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.138000,-84.725000,90.000000,top
"R13","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.638000,-84.725000,90.000000,top
"R14","470Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.115000,-105.283000,180.000000,top
"U1","ATtiny1616-S","SOIC-20W_7.5x12.8mm_P1.27mm",150.114000,-99.187000,0.000000,top
"U2","L78L05_SO8","SOIC-8_3.9x4.9mm_P1.27mm",133.273800,-87.994300,180.000000,top
