"Comment","Designator","Footprint","LCSC Part #"
"10uF 25V","C1,C3","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C162437"
"100nF","C2,C4,C5,C6,C7,C8","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C77082"
"SS34","D1","Diode_SMD:D_SMA_Handsoldering","C110516"
"SMBJ15A","D2","Diode_SMD:D_SMB_Handsoldering","C435932"
"3A","F1","Fuse:Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder","C719172"
"Conn_01x02","J1","Connector_Molex:Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal","C192562"
"Conn_01x04","J2,J3","Connector:FanPinHeader_1x04_P2.54mm_Vertical","C240840"
"Conn_01x02","J4,J5","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","C158012"
"Conn_01x03","J6","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C505002"
"LED Panel","J7","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","C144397"
"2N7002","Q1,Q2","Package_TO_SOT_SMD:SOT-23","C16338"
"10k 1%","R1,R2,R5,R6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C84376"
"100Ω","R3,R8","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C105577"
"100kΩ","R4,R7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C96346"
"1kΩ","R9,R10,R11,R12,R13","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C95781"
"470Ω","R14","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C114564"
"ATtiny1616-S","U1","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","C609652"
"L78L05_SO8","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C81154"
