Designator,Mid X,Mid Y,Rotation,Layer
C1,119.811800,-97.345900,90.000000,Top
C2,130.810000,-96.795500,-90.000000,Top
C3,135.763000,-95.034500,-90.000000,Top
C4,140.208000,-94.509500,90.000000,Top
C5,159.152500,-97.282000,0.000000,Top
C6,159.152500,-94.742000,0.000000,Top
C7,108.712000,-82.190500,90.000000,Top
C8,108.839000,-109.241500,-90.000000,Top
D1,123.124600,-89.890600,180.000000,Top
D2,125.628400,-98.483400,-90.000000,Top
F1,111.933000,-89.890600,0.000000,Top
J1,97.688400,-89.887800,-90.000000,Top
J2,101.046000,-83.683000,90.000000,Top
J3,101.173000,-110.734000,90.000000,Top
J4,179.197000,-97.937000,-90.000000,Top
J5,179.197000,-89.067000,-90.000000,Top
J6,157.607000,-111.379000,90.000000,Top
J7,144.218000,-68.072000,0.000000,Top
Q1,109.662000,-75.105500,-90.000000,Top
Q2,109.662000,-102.283500,-90.000000,Top
R1,159.115000,-100.457000,0.000000,Top
R2,159.115000,-91.567000,0.000000,Top
R3,115.459000,-74.066400,0.000000,Top
R4,109.585000,-70.612000,180.000000,Top
R5,109.585000,-78.486000,180.000000,Top
R6,109.635800,-105.664000,0.000000,Top
R7,109.585000,-98.044000,180.000000,Top
R8,115.300000,-101.346000,180.000000,Top
R9,154.178000,-84.693000,90.000000,Top
R10,144.163000,-84.725000,-90.000000,Top
R11,146.638000,-84.725000,90.000000,Top
R12,149.138000,-84.725000,90.000000,Top
R13,151.638000,-84.725000,90.000000,Top
R14,159.115000,-105.283000,180.000000,Top
U1,150.114000,-99.187000,0.000000,Top
U2,133.273800,-87.994300,180.000000,Top
