"Comment","Designator","Footprint","Manufacturer","MPN","LCSC Part #","Quantity"
"100 nF","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Murata Electronics","GRM21BR71H104KA01L","C77082","2"
"10 µF","C3,C4","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","CCTC","TCC1206X7R106K160HT","C380363","2"
"250mA PPTC","F1","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Littelfuse","1206L025/24YR","C3762322","1"
"Conn_01x03_Pin","J1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","ZHOURI","2.54-1*3","C5116482","1"
"Conn_01x02","J2","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","JST","B2B-PH-K-S","C20504437","1"
"Conn_01x04","J3","Connector:FanPinHeader_1x04_P2.54mm_Vertical","Molex","470531000","C240840","1"
"Conn_01x02","J4","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST","B2B-XH-A(LF)(SN)","C158012","1"
"Conn_01x03","J5","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","JST","B3B-PH-K-S(LF)(SN)","C131339","1"
"2N7002","Q1","Package_TO_SOT_SMD:SOT-23","Yangzhou Yangjie Electronic Technology","2N7002","C389059","1"
"AO3401A","Q2","Package_TO_SOT_SMD:SOT-23","Alpha & Omega Semiconductor","AO3401A","C15127","1"
"10 kΩ","R1,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","YAGEO","RC0805FR-0710KL","C84376","2"
"1 kΩ","R2,R5,R6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","YAGEO","RC0805FR-071KL","C95781","3"
"100 kΩ","R3","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","YAGEO","RC0805FR-07100KL","C96346","1"
"ATTINY402-SSF","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Microchip Technology","ATTINY402-SSF","C1338236","1"
