Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.632760,-66.038086,0.000000,top
"C2","100 nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",182.132760,-70.380086,0.000000,top
"C3","10 µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",173.576260,-61.617086,0.000000,top
"C4","10 µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",169.296760,-67.624586,-90.000000,top
"F1","250mA PPTC","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",162.438760,-71.015086,0.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",173.360760,-80.159086,90.000000,top
"J2","Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",168.137760,-80.159086,180.000000,top
"J3","Conn_01x04","FanPinHeader_1x04_P2.54mm_Vertical",175.132760,-56.642000,0.000000,top
"J4","Conn_01x02","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",155.702000,-71.038086,90.000000,top
"J5","Conn_01x03","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",160.406760,-80.159086,180.000000,top
"Q1","2N7002","SOT-23",181.821260,-62.379086,0.000000,top
"Q2","AO3401A","SOT-23",164.900260,-66.951086,180.000000,top
"R1","10 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.107760,-67.205086,0.000000,top
"R2","1 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",177.805760,-62.490086,-90.000000,top
"R3","100 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",185.552760,-62.363086,90.000000,top
"R4","10 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",182.107760,-72.920086,180.000000,top
"R5","1 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.438760,-73.301086,0.000000,top
"R6","1 kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.613760,-75.460086,0.000000,top
"U1","ATTINY402-SSF","SOIC-8_3.9x4.9mm_P1.27mm",175.132760,-71.038086,0.000000,top
