"Designator","Mid X","Mid Y","Rotation","Layer"
"C1","71.300000","-54.100000","0","Top"
"C2","59.037500","-45.800000","90","Top"
"C3","68.337500","-46.487500","0","Top"
"C4","68.337500","-43.987500","0","Top"
"C5","61.850000","-61.555000","90","Top"
"C6","57.700000","-68.555000","180","Top"
"C7","82.750000","-67.425000","90","Top"
"C8","101.050000","-77.025000","0","Top"
"C9","100.550000","-73.725000","0","Top"
"C13","57.650000","-70.955000","180","Top"
"C14","99.000000","-82.000000","0","Top"
"C15","98.000000","-88.500000","0","Top"
"C16","87.500000","-78.300000","0","Top"
"D1","62.137500","-52.350000","90","Top"
"D2","54.400000","-58.100000","270","Top"
"F1","47.900000","-55.500000","90","Top"
"J1","47.911500","-43.911000","180","Top"
"J2","76.050000","-62.455000","0","Top"
"J3","47.900000","-67.400000","0","Top"
"J4","94.950000","-66.725000","270","Top"
"J5","65.800000","-91.400000","0","Top"
"J7","47.900000","-86.500000","0","Top"
"J8","95.300000","-50.200000","0","Top"
"Q1","54.820000","-51.465000","180","Top"
"Q4","80.800000","-55.900000","90","Top"
"R1","65.400000","-50.700000","180","Top"
"R2","57.825000","-64.555000","180","Top"
"R3","83.150000","-75.825000","0","Top"
"R4","82.350000","-72.625000","270","Top"
"R5","85.450000","-64.525000","90","Top"
"R6","65.800000","-83.000000","90","Top"
"R8","71.800000","-82.975000","90","Top"
"R9","59.800000","-100.225000","90","Top"
"R10","59.800000","-82.975000","90","Top"
"R11","62.800000","-82.900000","90","Top"
"R12","85.450000","-67.525000","90","Top"
"R13","57.775000","-66.455000","0","Top"
"R14","62.800000","-100.225000","90","Top"
"R16","65.800000","-100.125000","270","Top"
"R17","71.800000","-100.225000","270","Top"
"R22","57.725000","-75.055000","180","Top"
"R23","57.750000","-73.155000","0","Top"
"R24","77.600000","-57.625000","90","Top"
"R25","80.700000","-59.100000","0","Top"
"R26","89.000000","-81.950000","0","Top"
"R27","94.000000","-90.000000","0","Top"
"U1","63.237500","-46.450000","180","Top"
"U2","66.500000","-70.500000","0","Top"
"U3","94.000000","-85.000000","0","Top"
"U4","85.000000","-81.000000","0","Top"
