Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 µF 35V","CP_Elec_6.3x7.7",71.300000,-54.100000,0.000000,top
"C2","100 nF 50 V","C_0805_2012Metric",59.037500,-45.800000,90.000000,top
"C3","1 µF 50 V","C_0805_2012Metric",68.337500,-46.487500,0.000000,top
"C4","1 µF 50 V","C_0805_2012Metric",68.337500,-43.987500,0.000000,top
"C5","100 nF 50 V","C_0805_2012Metric",61.850000,-61.555000,90.000000,top
"C6","100 nF 50 V","C_0805_2012Metric",57.700000,-68.555000,180.000000,top
"C7","1 nF 50V","C_0805_2012Metric",82.750000,-67.425000,90.000000,top
"C8","10 µF 50 V","C_1210_3225Metric",101.050000,-77.025000,0.000000,top
"C9","100 nF 50 V","C_0805_2012Metric",100.550000,-73.725000,0.000000,top
"C10","100 nF 50 V","C_0805_2012Metric",100.650000,-92.825000,0.000000,top
"C11","1 nF 50V","C_0805_2012Metric",82.650000,-86.325000,90.000000,top
"C12","10 µF 50 V","C_1210_3225Metric",101.150000,-96.225000,0.000000,top
"C13","100 nF 50 V","C_0805_2012Metric",57.650000,-70.955000,180.000000,top
"C14","10 µF 50 V","C_1210_3225Metric",109.000000,-72.000000,180.000000,top
"C15","10 µF 50 V","C_1210_3225Metric",111.000000,-81.500000,0.000000,top
"C16","100 nF 50 V","C_0805_2012Metric",87.500000,-76.600000,0.000000,top
"C17","100 nF 50 V","C_0805_2012Metric",87.500000,-95.300000,0.000000,top
"D1","BZT52C8V2","D_SOD-123",62.137500,-52.350000,90.000000,top
"D2","SMBJ15CA","D_SMB",54.400000,-58.100000,-90.000000,top
"F1","2920L260/24DR","Fuse_2920_7451Metric",47.900000,-55.500000,90.000000,top
"J1","POWER_HARNESS","Molex_Micro-Fit_3.0_43045-0218_2x01-1MP_P3.00mm_Vertical",47.911500,-43.911000,180.000000,top
"J2","UPDI","PinHeader_1x03_P2.54mm_Vertical",76.050000,-62.455000,0.000000,top
"J3","TH1","Molex_Micro-Fit_3.0_43045-0218_2x01-1MP_P3.00mm_Vertical",47.900000,-67.400000,0.000000,top
"J4","FAN1","Molex_Micro-Fit_3.0_43045-0418_2x02-1MP_P3.00mm_Vertical",94.950000,-66.725000,-90.000000,top
"J5","LED_PANEL","Molex_Micro-Fit_3.0_43045-1018_2x05-1MP_P3.00mm_Vertical",65.800000,-91.400000,0.000000,top
"J6","FAN2","Molex_Micro-Fit_3.0_43045-0418_2x02-1MP_P3.00mm_Vertical",95.050000,-85.725000,-90.000000,top
"J7","TH2","Molex_Micro-Fit_3.0_43045-0218_2x01-1MP_P3.00mm_Vertical",47.900000,-86.500000,0.000000,top
"J8","BUZZER_HARNESS","Molex_Micro-Fit_3.0_43045-0218_2x01-1MP_P3.00mm_Vertical",95.300000,-50.200000,0.000000,top
"Q1","DMPH4029LFGQ","Diodes_PowerDI3333-8",54.820000,-51.465000,180.000000,top
"Q4","AO3400A","SOT-23",80.800000,-55.900000,90.000000,top
"R1","10 kΩ","R_0603_1608Metric",65.400000,-50.700000,180.000000,top
