"Comment","Designator","Footprint","LCSC Part #"
"100 nF","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C77082"
"10 µF","C3,C4","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C380363"
"250mA PPTC","F1","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C3762322"
"Conn_01x03_Pin","J1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C5116482"
"Conn_01x02","J2","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C20504437"
"Conn_01x04","J3","Connector:FanPinHeader_1x04_P2.54mm_Vertical","C240840"
"Conn_01x02","J4","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","C158012"
"Conn_01x03","J5","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","C131339"
"2N7002","Q1","Package_TO_SOT_SMD:SOT-23","C389059"
"AO3401A","Q2","Package_TO_SOT_SMD:SOT-23","C15127"
"10 kΩ","R1,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C84376"
"1 kΩ","R2,R5,R6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C95781"
"100 kΩ","R3","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C96346"
"ATTINY402-SSF","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C1338236"
