"Designator","Mid X","Mid Y","Rotation","Layer"
"C1","173.632760","-66.038086","0.000000","Top"
"C2","182.132760","-70.380086","0.000000","Top"
"C3","173.576260","-61.617086","0.000000","Top"
"C4","169.296760","-67.624586","-90.000000","Top"
"F1","162.438760","-71.015086","0.000000","Top"
"J1","173.360760","-80.159086","90.000000","Top"
"J2","168.137760","-80.159086","180.000000","Top"
"J3","175.132760","-56.642000","0.000000","Top"
"J4","155.702000","-71.038086","90.000000","Top"
"J5","160.406760","-80.159086","180.000000","Top"
"Q1","181.821260","-62.379086","0.000000","Top"
"Q2","164.900260","-66.951086","180.000000","Top"
"R1","182.107760","-67.205086","0.000000","Top"
"R2","177.805760","-62.490086","-90.000000","Top"
"R3","185.552760","-62.363086","90.000000","Top"
"R4","182.107760","-72.920086","180.000000","Top"
"R5","163.438760","-73.301086","0.000000","Top"
"R6","165.613760","-75.460086","0.000000","Top"
"U1","175.132760","-71.038086","0.000000","Top"
