assumed_peak_A_per_fan,assumed_path_ohm,stagger_s,peak_source_A,minimum_bus_V,final_bus_V
0.55,0.1,0,1.1501258075893617,11.884987419241064,11.885
0.55,0.1,5,1.1501223108940337,11.884987768910596,11.885000000000002
0.55,0.5,0,1.150021843786245,11.424989078106877,11.424999999999999
0.55,0.5,5,1.1500214283652959,11.424989285817352,11.425
0.55,1.0,0,1.150009245026249,10.849990754973751,10.850000000000001
0.55,1.0,5,1.1500103729582278,10.849989627041772,10.85
1.1,0.1,0,2.250110796631688,11.774988920336831,11.885
1.1,0.1,5,1.700125277343517,11.829987472265648,11.885000000000002
1.1,0.5,0,2.250020420782697,10.874989789608652,11.425
1.1,0.5,5,1.7000200107383492,11.149989994630825,11.425
1.1,1.0,0,2.250009114451375,9.749990885548625,10.849999999999998
1.1,1.0,5,1.7000092691679,10.2999907308321,10.85
1.65,0.1,0,3.350108192542905,11.66498918074571,11.885000000000002
1.65,0.1,5,2.2501180287389104,11.77498819712611,11.885
1.65,0.5,0,3.3500192678109784,10.32499036609451,11.424999999999999
1.65,0.5,5,2.250020804956524,10.874989597521738,11.425000000000002
1.65,1.0,0,3.350008266579252,8.649991733420748,10.85
1.65,1.0,5,2.250009154688838,9.749990845311162,10.850000000000001
