true_bead_C,modeled_error_min_C,modeled_error_max_C,half_LSB_error_max_C,self_heating_estimate_C,source_impedance_ohm,filter_tau_ms,filter_settle_half_LSB_ms,R25_positive_parameter_error_C,beta_positive_parameter_error_C,pullup_positive_parameter_error_C,ADC_2LSB_positive_parameter_error_C
25,-0.7686138532935161,0.7725972775466516,0.05060239693636959,0.34031249999999996,6000.0,0.6,4.5741851679069425,-0.2572796783703666,0.0,0.25772446970808005,-0.20223893290693695
26,-0.8236413026633613,0.8284664213385327,0.05096229269582864,0.3401863415334985,5903.730380721314,0.5903730380721314,4.500792657136174,-0.2590076635256082,0.05017611539750533,0.2594569454057023,-0.20365749627097784
27,-0.8791698141869801,0.8849200807811712,0.051361155791994406,0.33981159123821086,5808.172720443777,0.5808172720443776,4.4279429184159405,-0.26074142714259096,0.10070457976848957,0.261195229687587,-0.20523146370760514
28,-0.9351991707016509,0.9419594538666729,0.051799072289043124,0.33919428366756776,5713.38826428886,0.5713388264288859,4.355682642833949,-0.26248096917095154,0.15158557046981969,0.26293932260432484,-0.2069611052475011
29,-0.9917293705079828,0.9995860632254221,0.052276181195736626,0.33834100796169597,5619.435242705895,0.5619435242705895,4.284056223199809,-0.26422628956066774,0.20281926497733593,0.2646892242063359,-0.2088469020451953
30,-1.0487606200800315,1.057801748029192,0.05279267291319911,0.3372588553002659,5526.368797427529,0.5526368797427529,4.213105697596122,-0.26597738826149,0.2544058408861929,0.2664449345442108,-0.21088953984258296
31,-1.1062933272527289,1.1166086565970659,0.05334878779757446,0.335955365657542,5434.240925001875,0.5434240925001875,4.142870706329414,-0.2677342652232255,0.30634547591068895,0.2682064536684834,-0.2130899029024249
32,-1.164328094855307,1.1760092396577875,0.05394481483034497,0.33443847435558827,5343.100437355799,0.5343100437355799,4.073388461864999,-0.26949692039585216,0.35863834788449367,0.26997378162957375,-0.2154490683798258
33,-1.2228657147603599,1.236006244231021,0.054581090388467146,0.33271645888126145,5252.992938730876,0.5252992938730876,4.004693731243779,-0.2712653537291203,0.41128463476070465,0.2717469184781294,-0.21796830110241672
34,-1.2819071623217155,1.296602708088244,0.05525799710960655,0.33079788639822433,5163.960818235522,0.5163960818235522,3.936818830404254,-0.2730395651726667,0.46428451461201803,0.2735258642646272,-0.22064904873133173
35,-1.3414535911753092,1.357801954758429,0.05597596284479778,0.32869156234767133,5076.043257173977,0.5076043257173977,3.869793629769875,-0.27481955467663965,0.5176381656307285,0.27531061903954424,-0.2234929372787633
36,-1.4015063283788436,1.4196075890473594,0.05673545969375482,0.3264064804916258,4989.276250244659,0.4989276250244659,3.803645570409915,-0.27660532219073275,0.5713457661290136,0.2771011828535279,-0.22650176695645996
37,-1.4620668698687496,1.4820234930388665,0.057537003117772656,0.3239517747114071,4903.692639647481,0.4903692639647481,3.7383996900416587,-0.2783968676646964,0.6254074945387629,0.27889755575699837,-0.22967750833578293
38,-1.5231368762120496,1.545053822550642,0.05838115112499054,0.3213366728319528,4819.322161100308,0.48193221611003084,3.6740786581117106,-0.28019419104845156,0.679823529411749,0.28069973780054625,-0.23302229879550396
39,-1.584718168636016,1.6087030040193326,0.05926850352381052,0.31857045270083795,4736.191500739351,0.47361915007393507,3.6107028191748105,-0.2819972922918055,0.7345940494200818,0.2825077290346485,-0.23653843924086004
40,-1.646812725315499,1.6729757317887675,0.060199701239525893,0.3156624007097145,4654.324361865149,0.46543243618651486,3.548290243778585,-0.28380617134462227,0.7897192333557541,0.28432152950989575,-0.24022839107487926
